"Name","Phone 1 - Value","E-mail 1 - Value","Address 1 - Street","Address 1 - Postal Code","Address 1 - City","Organization 1 - Name","Organization 1 - Department","Group Membership","Notes"
"Ace Record","5491138003197",NULL,"Galeria Gran Lomas, Laprida 151 Local 20, B1832HOC Gran Buenos Aires, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Ace Records Tattoo ","5491138003195",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Acero  Tattoo ","5491140909183",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"ACID TATTOO Club & Store","5491151429370",NULL,"Av. Crovara 1006, B1751 La Tablada, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Administración del Instituto Carlos Pellegrini   ","5491127951083",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Adriana Moni  La Cueva ","5491159089627",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"After Tatuajes","5491154312409",NULL,"B1875AQF, Av. Crisólogo Larralde 5704, B1875AQF Wilde, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Agujas y Diamantes","5491162872228",NULL,"Av. San Martín 3462, B1826 Remedios de Escalada, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"agusbtatt","5491135101400",NULL,"Constitución y Ana Acerboni, Banfield, B1828 Lomas de Zamora, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Agustin  Tattoo Fair ","5491133158033",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Agustín Muñoz Tattoo","5491154980828",NULL,"Carlos Guido Spano 1990, B1834 Turdera, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Agustín Tattoo  MSG Canning ","5491170169193",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Aicasupplies","5491137793710",NULL,"Mariano Boedo 236, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Ailín  China ","5491141804477",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Akira Tattoo","5491138871394",NULL,"Av. Rivadavia 181, C1878 Quilmes, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Alamo Tattoo","5491130395830",NULL,"Av. Gral. Paz 14825, B1768 Villa Madero, Cdad. Autónoma de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Alan.Ink Tattoo estudio","5491165266151",NULL,"B1848 Burzaco, Buenos Aires Province, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Aldana Punta Lara Tattoo ","2216550314",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Aldyy tattoo","5491139537362",NULL,"Pres. Avellaneda 717, 1842 Lanús, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Ale Tattoo  Sudestada Ink ","5491164011940",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Ale Tattoo Green House ","5491157031032",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Alejo  MSG ","5491128247863",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Alemarintattoo","5491162553903",NULL,"DEL PROGRESO 5215 1776 9 DE ABRIL, C1776 Buenos Aires, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Alex Tattoo Neuquen ","2995245859",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Alexander tattoos","5491124007723",NULL,"Adolfo Alsina 453, B1852 Burzaco, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"alexis Tattoo  San Jose ","5491136335669",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Alkimia Tattoo Studio","5491127817752",NULL,"Av. Crovara 875, B1766 La Tablada, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"All Mine Tattoo","5491156414670",NULL,"Av. 844 2649, B1843 San Francisco Solano, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Almamia Tattoo Studio","5491161745565",NULL,"Av. 14 N° 4666 local 8, B1884 Berazategui, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Alsina Ink Tattoo & Supplies","5491159518410",NULL,"Av. Tte. Gral. Juan Domingo Perón 2546 local 28, B1822 Valentín Alsina, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Amnesia Tattoo & Piercing","5491133798809",NULL,"Av. Eva Duarte de Perón 718, B1862 Guernica, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Amor Fati Tattoo","5491159420610",NULL,"Pedernera 494, B1768 Villa Madero, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - estudio de tatuajes","Tatuajes","Cliente",NULL
"Andina","5491160034823",NULL,"Coronel Martiniano Chilavert 6746, C1439 C1439CMF, Cdad. Autónoma de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Angel Lucky Red ","5491127979533",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Anita  Longchamps Tattoo ","5491131958828",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Anita Stuka Tattoo Lomas ","5491139070179",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Anita Tatuajes","5491127375843",NULL,"Buenos Aires 178, B1862 Guernica, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Antonella Local 21 Tattoo ","5491160590158",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Apricot  Diana Apricot","5491123154687",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Aquila Tattoo   Flor ","5491128682655",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"ARG Tattoo Studio Burzaco","5491164009924",NULL,"B1852EZP, Int. C. Amenedo 754, B1852EZP Burzaco, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Ariel Tattoo Piercing Varela ","5491160378381",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Ariel Tattoo Verduleria ","5491170092033",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Arte Divino","5491140850869",NULL,"Galería Gran Lomas, Laprida 151, B1832HOC Gran Buenos Aires, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Arte Divino Tattoo Lomas ","5491159671951",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Artechabon Tatuajes","5491122575165",NULL,"Aristóbulo del Valle 92, B1824NBD Lanús, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Auca  Tattoo ","42254986",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Auca Tattoo y Piercing","5491142254986",NULL,"Av. 9 de Julio 1558 Local 30, B1824 Lanús, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Axel Tattoo","5491168053904",NULL,"José María Moreno 3679, B1824OEV Lanús, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Ayelen Peña Tattoo ","5491140944327",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Aymara Living Art Lanus ","5491123478885",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Azul Tkachuk   ","5491168927952",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Bad Luck tattoo&piercing","5491154377300",NULL,"Fabián Onsari 1998, B1875EKT Wilde, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Bakeneko Tattoo studio","5491140310911",NULL,"C. 15 4909, B1884 Berazategui, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Bar de Prueba 1","5491163083302",NULL,"Calle Falsa 123",NULL,NULL,"[Haby] bar","Comidas y bebidas","Cliente",NULL
"Bar de Prueba 2","5491158254201",NULL,"Calle Verdadera 456",NULL,NULL,"[Haby] bar","Comidas y bebidas","Cliente",NULL
"Barada's Piercing Studio","5491150007298",NULL,"Primera Junta 158, B1878 Quilmes, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Baradas Tattoo Studio","5491158779120",NULL,"Primera Junta 158, B1878 Quilmes, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Barber Tattoo Shop","5491123079538",NULL,"B1843AVB, El Condor, B1847 San Francisco Solano, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Barbie Tattoo Mte Grande ","5491164356905",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Bayres Tattoo Crew","5491158646730",NULL,"Av. Luis Vernet 1701-1799, B1842FVH Monte Grande, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Belen Estetica   ","5491126248647",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"betii_.tattoo Studio","5491161349637",NULL,"Montevideo 2080, B1856 Glew, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Bicho  Tattoo ","5491139090232",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Big Family Tattoo ","5491126798304",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Bimladen  Tattoo ","5491124737331",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Bimladen Tattoo San Jose ","5491124737331",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"BITACORA TATUAJES","5491138959097",NULL,"Benavídez 3252, B1842BWA Monte Grande, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Black Cadillac Tattoo Studii","5491154010890",NULL,"Nestor de la Peña 12, B1836 Llavallol, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Black Door Tattoo Studio","5491158364510",NULL,"Luis Siciliano 1996, B2700 Banfield, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Black Sheep Lomas","5491130726873",NULL,"Laprida 141 Local 18, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Black Wings Tattoo y bodypiercing lanus","5491123889985",NULL,"Av. 9 de Julio 1223 local 6, B1824 Lanús, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Blackline tattoo","5491168868340",NULL,"C1862 Guernica, Buenos Aires Province, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"BlackTattoo Lomas","5491158043718",NULL,"Laprida 165 LOCAL 12, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Blitzkrieg Tattoo","5491141945737",NULL,"Hungría 989, B1834EBJ Temperley, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Blood Ink Tattoo","5491142597460",NULL,"Gral. Álvarez 1127, B1876 Bernal Oeste, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Bogado House Tattoo","5491122737609",NULL,"Mendoza 823, B1847 José Marmol, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Booz Tattoo Marcelo ","5491162713232",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Borne Tattoo Studio","5491122628351",NULL,"Balcarce entre Noya, Maradona y, B1824 Lanús, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Bosque tattoo","5491123027815",NULL,"Colón 347, B1834 Temperley, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Brandi  Tattoo ","5491157413682",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Brujerio","5491140885979",NULL,"Salvador Soreda 6208, B1875 Wilde, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Bruz  Tattoo ","5491121552603",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Buena Vibra Nano Ink Tatto","5491151362651",NULL,"Bolivia 999, B1878 Guernica, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Buenos Muchachos","5491136931452",NULL,"Lanús Oeste, B1820 Lanús, Buenos Aires Province, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Buenos Muchachos Burzaco","5491166593678",NULL,"Adolfo Alsina 840 1852, B1852 Burzaco, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Buenos Muchachos Guernica","5491128865426",NULL,"Av. José I. Rucci 13, B1862LOA Guernica, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Buenos Muchachos Guernica 2","5491122832435",NULL,"Rosario Vera Peñaloza 321, B1862 Guernica, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Buenos Muchachos Longchamps","5491128754361",NULL,"Av. Hipólito Yrigoyen 18303, C1854 Longchamps, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Buenos Muchachos Tattoo & Piercing","54902224424317",NULL,"GOD, Jorge Newbery 2898, B1856 Glew, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Buey Rock Barber","5491123625711",NULL,"Moreno 765, B1878 Quilmes, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Butterfly tatto estudio","5491121705863",NULL,"B1854 Longchamps, Buenos Aires Province, Argentina",NULL,NULL,"[Haby] Tatuadores - estudio de tatuajes","Tatuajes","Cliente",NULL
"c.bernascone / Tattoo + Micropigmentación","5491122692223",NULL,"Luzuriaga 825, B1836 Llavallol, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Callejón De Brujas Tatuaje y Estética","5491153248363",NULL,"Anatole France 2082, B1824 Lanús, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Cande Garcia  Tattoo San Jose ","5491123068201",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Canning ink tattoo","5491164591616",NULL,"Mariano Castex 767 sargento Cabral 774 (estacionamiento, B1804 Canning, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Cannink-TATTOBARBER","5491135627335",NULL,"Mariano Castex 1344, B1804 Canning, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Caos Temple Estudio","5491170582932",NULL,"Belgrano 1509, B1828 Banfield, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Carla Odil  Tattoo ","5491139134818",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Carli La Cueva Tatoo ","5491138000663",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Carlos arana Tattoo estudio","5491167666502",NULL,"C. Molina Arrotea 1535, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Caro Tota Black Tattoo ","5491169513160",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Caruna Tattoo Lanus ","5491151055359",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Caton Tattoo Ink Studio","5491131988432",NULL,"APA, Terranova 86, B1823 Gerli, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"CeciliaTatuadora","5491135606529",NULL,"FRS, Almte. Solier 2634, B1872 Sarandí, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - estudio de tatuajes","Tatuajes","Cliente",NULL
"Cesar Perez  Auca Tattoo Lanus ","5491169726387",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Chaerly  Msg ","5491138436659",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Chango  Tattoo ","5491159588983",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Chapu   ","5491127172181",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Charly La Cueva Tattoo ","5491171417491",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Chino Tatuajes","5491157092097",NULL,"Av. Manuel Belgrano 3447, B1874 Sarandí, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tatuajes","Tatuajes","Cliente",NULL
"Cindy  Tattoo ","5491136871576",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Claudia Living Art Tattoo ","5491164021408",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Claudio  Tattoo ","5491161359430",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Claudio Pura Vida ","5491161966485",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Claus   ","5491134400980",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Clink","5491100000000",NULL,"1876, B1860 Bernal, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Cobra Snake Tattoo Studio","5491136230537",NULL,"Viamonte 1524, B1828AEN Banfield, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Conejo Tattoo Studio","5491160398953",NULL,"Roger Balet 133, B1812 Carlos Spegazzini, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Corsarios","5491171547629",NULL,"Cosquín 4815, C1439 Cdad. Autónoma de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Cradbel tattoo","5491166315320",NULL,"Mendoza 1536, B1882 Ezpeleta, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Cristian kB Tattoo ","5491133401471",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Cristian TATTOO","5491135712029",NULL,"B1825 Monte Chingolo, Buenos Aires Province, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Crobo tattoo Equipamiento","5491156391503",NULL,"Vicente Longhi 251, B1834 Temperley, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Cucu  Tattoo ","5491157967370",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"CUFA TATTOO","5491124565617",NULL,"Buenos Aires 48, B1862 Guernica, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"Daga Negra Tattoo & Barber Studio","5491137611887",NULL,"Av. Hipólito Yrigoyen 799, B1879 Quilmes, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"Dai Tattoo  Alumna Diego ","5491169808383",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
